변수명,VIF
공사종류_1,5.097340472451311
공사종류_3,4.1318178416021345
공사종류_4,3.3368265703171303
공사종류_6,2.469025676522813
공사종류_5,2.3875214983956203
기성률_1,1.8793420090811959
발주처_정부,1.8372837372262643
기성률_2,1.8031666461914513
정리정돈상태,1.7901959862891503
교육훈련도움,1.7814684282388857
작업반장기여,1.7750324279925416
공사종류_2,1.7590944654101743
작업중지권,1.6110033808616069
기성률_5,1.5626550828946106
기성률_4,1.5478887585279772
공사규모_1,1.5338343280454936
공사규모_3,1.5104293354876157
기성률_6,1.4615317994939585
안전조직수준,1.351471856493293
외국인비율,1.3024421763545249
고용노동부감독,1.2859381108102261
위원회수준,1.2829692398246142
인증보유,1.279712926851301
안전보건공단지원,1.242363740991977
발주처_자체,1.1661877209834284
위험성평가수준,1.149739512785598
전문지도,1.0808800011992532
